scen,bev_type,SSB_status,cont_type,impact_type,item,value
scen2_1,milk_an,SSB,plastic,h2o,bev,0
scen2_1,milk_an,SSB,carton,ghg,bev,0
scen2_1,milk_an,SSB,carton,h2o,bev,0
scen2_1,milk_an,SSB,bag_in_box,ghg,bev,0
scen2_1,milk_an,SSB,bag_in_box,h2o,bev,0
scen2_1,milk_other_plant,non_SSB,carton,ghg,bev,0
scen2_1,milk_other_plant,non_SSB,carton,h2o,bev,0
scen2_1,milk_other_plant,non_SSB,bag_in_box,ghg,bev,0
scen2_1,milk_other_plant,non_SSB,bag_in_box,h2o,bev,0
scen2_1,milk_other_plant,SSB,carton,ghg,bev,0
scen2_1,milk_other_plant,SSB,carton,h2o,bev,0
scen2_1,milk_other_plant,SSB,bag_in_box,ghg,bev,0
scen2_1,milk_other_plant,SSB,bag_in_box,h2o,bev,0
scen2_1,milk_soy,non_SSB,carton,ghg,bev,19257510.6537266
scen2_1,milk_soy,non_SSB,carton,h2o,bev,318150.359753
scen2_1,milk_soy,SSB,carton,ghg,bev,0
scen2_1,milk_soy,SSB,carton,h2o,bev,0
scen2_1,probiotic,non_SSB,plastic,ghg,bev,341213.0583861
scen2_1,probiotic,non_SSB,plastic,h2o,bev,59153.056963200004
scen2_1,probiotic,SSB,glass,ghg,bev,0
scen2_1,probiotic,SSB,glass,h2o,bev,0
scen2_1,soda,non_SSB,alum_can,ghg,bev,3433355.6835552757
scen2_1,soda,non_SSB,alum_can,h2o,bev,1509039.393633815
scen2_1,soda,non_SSB,glass,ghg,bev,426976.54073982325
scen2_1,soda,non_SSB,glass,h2o,bev,187666.08517142685
scen2_1,soda,non_SSB,plastic,ghg,bev,2766816.9144054363
scen2_1,soda,non_SSB,plastic,h2o,bev,1216080.1570336174
scen2_1,soda,non_SSB,bag_in_box,ghg,bev,5306127.907768764
scen2_1,soda,non_SSB,bag_in_box,h2o,bev,2332166.18914104
scen2_1,soda,SSB,alum_can,ghg,bev,0
scen2_1,soda,SSB,alum_can,h2o,bev,0
scen2_1,soda,SSB,glass,ghg,bev,0
scen2_1,soda,SSB,glass,h2o,bev,0
scen2_1,soda,SSB,plastic,ghg,bev,0
scen2_1,soda,SSB,plastic,h2o,bev,0
scen2_1,soda,SSB,carton,ghg,bev,0
scen2_1,soda,SSB,carton,h2o,bev,0
scen2_1,soda,SSB,bag_in_box,ghg,bev,0
scen2_1,soda,SSB,bag_in_box,h2o,bev,0
scen2_1,tea,non_SSB,alum_can,ghg,bev,216879.30769247387
scen2_1,tea,non_SSB,alum_can,h2o,bev,27561.795025779513
scen2_1,tea,non_SSB,glass,ghg,bev,449536.9715730596
scen2_1,tea,non_SSB,glass,h2o,bev,57128.75976427834
scen2_1,tea,non_SSB,plastic,ghg,bev,1234188.5530209502
scen2_1,tea,non_SSB,plastic,h2o,bev,156845.07795349846
scen2_1,tea,non_SSB,bag_in_box,ghg,bev,2183849.9806735157
scen2_1,tea,non_SSB,bag_in_box,h2o,bev,277531.4352244437
scen2_1,tea,SSB,alum_can,ghg,bev,0
scen2_1,tea,SSB,alum_can,h2o,bev,0
scen2_1,tea,SSB,glass,ghg,bev,0
scen2_1,tea,SSB,glass,h2o,bev,0
scen2_1,tea,SSB,plastic,ghg,bev,0
scen2_1,tea,SSB,plastic,h2o,bev,0
scen2_1,tea,SSB,bag_in_box,ghg,bev,0
scen2_1,tea,SSB,bag_in_box,h2o,bev,0
scen2_1,water_bottled,non_SSB,plastic,ghg,bev,11927268.868816001
scen2_1,water_bottled,non_SSB,plastic,h2o,bev,659807.848798
scen2_1,water_ucsb,non_SSB,steel_bott_reuse,ghg,bev,0
scen2_1,water_ucsb,non_SSB,steel_bott_reuse,h2o,bev,0
scen2_2,coffee,non_SSB,alum_can,ghg,bev,83245.75450371164
