scen,SSB_status,cont_type,item,bev_type,"Climate
[ t CO2eq (100yr) ]","Water Use
[ M Liter (Blue) ]","Plastic Pollution
[ kg plastic ]"
scen2_3,SSB,plastic,bev,Coffee + milk,0,0,0
scen2_3,non_SSB,alum_can,bev,Juice,0.19491551899582654,0.043553931346704336,0
scen2_3,non_SSB,glass,bev,Juice,0.6174661165650772,0.137972989469183,0
scen2_3,non_SSB,plastic,bev,Juice,35.41475113749983,7.913436793795333,0
scen2_3,non_SSB,carton,bev,Juice,1.0532344581372723,0.23534555646477953,0
scen2_3,SSB,alum_can,bev,Juice,0,0,0
scen2_3,SSB,glass,bev,Juice,0,0,0
scen2_3,SSB,plastic,bev,Juice,0,0,0
scen2_3,SSB,carton,bev,Juice,0,0,0
scen2_3,SSB,bag_in_box,bev,Juice,0,0,0
scen2_3,non_SSB,carton,bev,Almond milk,0.1541919882958,0.062305855873299995,0
scen2_3,SSB,plastic,bev,Almond milk,0,0,0
scen2_3,SSB,carton,bev,Almond milk,0,0,0
scen2_3,non_SSB,plastic,bev,"Milk, animal",65.2382953706495,29.97675934289654,0
scen2_3,non_SSB,carton,bev,"Milk, animal",1.863006176983306,0.856044559479456,0
scen2_3,SSB,plastic,bev,"Milk, animal",0,0,0
scen2_3,SSB,carton,bev,"Milk, animal",0,0,0
scen2_3,SSB,bag_in_box,bev,"Milk, animal",0,0,0
scen2_3,non_SSB,carton,bev,Plant milk,0,0,0
scen2_3,non_SSB,bag_in_box,bev,Plant milk,0,0,0
scen2_3,SSB,carton,bev,Plant milk,0,0,0
scen2_3,SSB,bag_in_box,bev,Plant milk,0,0,0
scen2_3,non_SSB,carton,bev,Soy milk,6.3966535011113015,0.10567812471650002,0
scen2_3,SSB,carton,bev,Soy milk,0,0,0
scen2_3,non_SSB,plastic,bev,Probiotic,0.11333867810432999,0.019648513200959998,0
scen2_3,SSB,glass,bev,Probiotic,0,0,0
scen2_3,non_SSB,alum_can,bev,Soda,1.140437140905361,0.5012485539532657,0
scen2_3,non_SSB,glass,bev,Soda,0.14182623364286984,0.06233591662026193,0
scen2_3,non_SSB,plastic,bev,Soda,0.9190369603669201,0.4039380434837589,0
scen2_3,non_SSB,bag_in_box,bev,Soda,1.7625046450613489,0.7746616389322135,0
scen2_3,SSB,alum_can,bev,Soda,0,0,0
scen2_3,SSB,glass,bev,Soda,0,0,0
scen2_3,SSB,plastic,bev,Soda,0,0,0
scen2_3,SSB,carton,bev,Soda,0,0,0
scen2_3,SSB,bag_in_box,bev,Soda,0,0,0
scen2_3,non_SSB,alum_can,bev,Tea,0.07203950022030232,0.009155036319310755,0
scen2_3,non_SSB,glass,bev,Tea,0.14932000248078653,0.01897611784827338,0
scen2_3,non_SSB,plastic,bev,Tea,0.40995301710995224,0.052098289818436574,0
scen2_3,non_SSB,bag_in_box,bev,Tea,0.7253963637089588,0.09218595402997927,0
scen2_3,SSB,alum_can,bev,Tea,0,0,0
scen2_3,SSB,glass,bev,Tea,0,0,0
scen2_3,SSB,plastic,bev,Tea,0,0,0
scen2_3,SSB,bag_in_box,bev,Tea,0,0,0
scen2_3,non_SSB,plastic,bev,"Water, bottled",27.785694732589597,1.5370844466163,0
scen2_3,non_SSB,steel_bott_reuse,bev,"Water, Filtered tap",0,0,0
scen2_4,non_SSB,alum_can,bev,Coffee,0.05400939020158046,0.0014046002481075137,0
scen2_4,non_SSB,glass,bev,Coffee,0.3841983307535339,0.009991689754036786,0
scen2_4,non_SSB,plastic,bev,Coffee,0.07993677615128562,0.0020788832311556993,0
scen2_4,SSB,alum_can,bev,Coffee,0,0,0
scen2_4,SSB,glass,bev,Coffee,0,0,0
scen2_4,SSB,plastic,bev,Coffee,0,0,0
scen2_4,non_SSB,alum_can,bev,Coffee + milk,0.014588111816349997,0.005084241684757999,0
scen2_4,non_SSB,glass,bev,Coffee + milk,0.33507186424065,0.11677908429880199,0
scen2_4,non_SSB,plastic,bev,Coffee + milk,0.05694990535074999,0.019848153508309995,0
scen2_4,SSB,alum_can,bev,Coffee + milk,0,0,0
scen2_4,SSB,glass,bev,Coffee + milk,0,0,0
scen2_4,SSB,plastic,bev,Coffee + milk,0,0,0
scen2_4,non_SSB,alum_can,bev,Juice,0.19491551899582654,0.043553931346704336,0
scen2_4,non_SSB,glass,bev,Juice,0.6174661165650772,0.137972989469183,0
scen2_4,non_SSB,plastic,bev,Juice,35.41475113749983,7.913436793795333,0
scen2_4,non_SSB,carton,bev,Juice,1.0532344581372723,0.23534555646477953,0
scen2_4,SSB,alum_can,bev,Juice,0,0,0
scen2_4,SSB,glass,bev,Juice,0,0,0
scen2_4,SSB,plastic,bev,Juice,0,0,0
scen2_4,SSB,carton,bev,Juice,0,0,0
scen2_4,SSB,bag_in_box,bev,Juice,0,0,0
scen2_4,non_SSB,carton,bev,Almond milk,0.1541919882958,0.062305855873299995,0
scen2_4,SSB,plastic,bev,Almond milk,0,0,0
scen2_4,SSB,carton,bev,Almond milk,0,0,0
scen2_4,non_SSB,plastic,bev,"Milk, animal",65.2382953706495,29.97675934289654,0
scen2_4,non_SSB,carton,bev,"Milk, animal",1.863006176983306,0.856044559479456,0
scen2_4,SSB,plastic,bev,"Milk, animal",0,0,0
scen2_4,SSB,carton,bev,"Milk, animal",0,0,0
scen2_4,SSB,bag_in_box,bev,"Milk, animal",0,0,0
scen2_4,non_SSB,carton,bev,Plant milk,0,0,0
scen2_4,non_SSB,bag_in_box,bev,Plant milk,0,0,0
scen2_4,SSB,carton,bev,Plant milk,0,0,0
scen2_4,SSB,bag_in_box,bev,Plant milk,0,0,0
scen2_4,non_SSB,carton,bev,Soy milk,6.3966535011113015,0.10567812471650002,0
scen2_4,SSB,carton,bev,Soy milk,0,0,0
scen2_4,non_SSB,plastic,bev,Probiotic,0.11333867810432999,0.019648513200959998,0
scen2_4,SSB,glass,bev,Probiotic,0,0,0
scen2_4,non_SSB,alum_can,bev,Soda,1.140437140905361,0.5012485539532657,0
scen2_4,non_SSB,glass,bev,Soda,0.14182623364286984,0.06233591662026193,0
scen2_4,non_SSB,plastic,bev,Soda,0.9190369603669201,0.4039380434837589,0
scen2_4,non_SSB,bag_in_box,bev,Soda,1.7625046450613489,0.7746616389322135,0
scen2_4,SSB,alum_can,bev,Soda,0,0,0
scen2_4,SSB,glass,bev,Soda,0,0,0
scen2_4,SSB,plastic,bev,Soda,0,0,0
scen2_4,SSB,carton,bev,Soda,0,0,0
scen2_4,SSB,bag_in_box,bev,Soda,0,0,0
scen2_4,non_SSB,alum_can,bev,Tea,0.07203950022030232,0.009155036319310755,0
scen2_4,non_SSB,glass,bev,Tea,0.14932000248078653,0.01897611784827338,0
scen2_4,non_SSB,plastic,bev,Tea,0.40995301710995224,0.052098289818436574,0
scen2_4,non_SSB,bag_in_box,bev,Tea,0.7253963637089588,0.09218595402997927,0
scen2_4,SSB,alum_can,bev,Tea,0,0,0
scen2_4,SSB,glass,bev,Tea,0,0,0
scen2_4,SSB,plastic,bev,Tea,0,0,0
scen2_4,SSB,bag_in_box,bev,Tea,0,0,0
scen2_4,non_SSB,plastic,bev,"Water, bottled",3.9618091123512,0.2191644018861,0
scen2_4,non_SSB,steel_bott_reuse,bev,"Water, Filtered tap",3.9041281910904,1.25666396,0
scen3_1,non_SSB,alum_can,bev,Coffee,0,0,0
scen3_1,non_SSB,glass,bev,Coffee,0,0,0
scen3_1,non_SSB,plastic,bev,Coffee,0,0,0
scen3_1,SSB,alum_can,bev,Coffee,0,0,0
scen3_1,SSB,glass,bev,Coffee,0,0,0
scen3_1,SSB,plastic,bev,Coffee,0,0,0
scen3_1,non_SSB,alum_can,bev,Coffee + milk,0,0,0
scen3_1,non_SSB,glass,bev,Coffee + milk,0,0,0
scen3_1,non_SSB,plastic,bev,Coffee + milk,0,0,0
scen3_1,SSB,alum_can,bev,Coffee + milk,0,0,0
scen3_1,SSB,glass,bev,Coffee + milk,0,0,0
scen3_1,SSB,plastic,bev,Coffee + milk,0,0,0
scen3_1,non_SSB,alum_can,bev,Juice,0,0,0
scen3_1,non_SSB,glass,bev,Juice,0,0,0
scen3_1,non_SSB,plastic,bev,Juice,0,0,0
scen3_1,non_SSB,carton,bev,Juice,0,0,0
scen3_1,SSB,alum_can,bev,Juice,0,0,0
scen3_1,SSB,glass,bev,Juice,0,0,0
scen3_1,SSB,plastic,bev,Juice,0,0,0
scen3_1,SSB,carton,bev,Juice,0,0,0
scen3_1,SSB,bag_in_box,bev,Juice,0,0,0
scen3_1,non_SSB,carton,bev,Almond milk,0,0,0
scen3_1,SSB,plastic,bev,Almond milk,0,0,0
scen3_1,SSB,carton,bev,Almond milk,0,0,0
scen3_1,non_SSB,plastic,bev,"Milk, animal",0,0,0
scen3_1,non_SSB,carton,bev,"Milk, animal",0,0,0
scen3_1,SSB,plastic,bev,"Milk, animal",0,0,0
scen3_1,SSB,carton,bev,"Milk, animal",0,0,0
scen3_1,SSB,bag_in_box,bev,"Milk, animal",0,0,0
scen3_1,non_SSB,carton,bev,Plant milk,0,0,0
scen3_1,non_SSB,bag_in_box,bev,Plant milk,0,0,0
scen3_1,SSB,carton,bev,Plant milk,0,0,0
scen3_1,SSB,bag_in_box,bev,Plant milk,0,0,0
scen3_1,non_SSB,carton,bev,Soy milk,0,0,0
scen3_1,SSB,carton,bev,Soy milk,0,0,0
scen3_1,non_SSB,plastic,bev,Probiotic,0,0,0
scen3_1,SSB,glass,bev,Probiotic,0,0,0
scen3_1,non_SSB,alum_can,bev,Soda,0,0,0
scen3_1,non_SSB,glass,bev,Soda,0,0,0
scen3_1,non_SSB,plastic,bev,Soda,0,0,0
scen3_1,non_SSB,bag_in_box,bev,Soda,0,0,0
scen3_1,SSB,alum_can,bev,Soda,0,0,0
scen3_1,SSB,glass,bev,Soda,0,0,0
scen3_1,SSB,plastic,bev,Soda,0,0,0
scen3_1,SSB,carton,bev,Soda,0,0,0
scen3_1,SSB,bag_in_box,bev,Soda,0,0,0
scen3_1,non_SSB,alum_can,bev,Tea,0,0,0
scen3_1,non_SSB,glass,bev,Tea,0,0,0
scen3_1,non_SSB,plastic,bev,Tea,0,0,0
scen3_1,non_SSB,bag_in_box,bev,Tea,0,0,0
scen3_1,SSB,alum_can,bev,Tea,0,0,0
scen3_1,SSB,glass,bev,Tea,0,0,0
scen3_1,SSB,plastic,bev,Tea,0,0,0
scen3_1,SSB,bag_in_box,bev,Tea,0,0,0
scen3_1,non_SSB,plastic,bev,"Water, bottled",35.673256281855195,1.9734186212981,0
scen3_1,non_SSB,steel_bott_reuse,bev,"Water, Filtered tap",0,0,0
scen3_2,non_SSB,alum_can,bev,Coffee,0,0,0
scen3_2,non_SSB,glass,bev,Coffee,0,0,0
scen3_2,non_SSB,plastic,bev,Coffee,0,0,0
scen3_2,SSB,alum_can,bev,Coffee,0,0,0
scen3_2,SSB,glass,bev,Coffee,0,0,0
