distrib,cont_size,liter_cont,liter_drink,sug_add,sug_other,sug_unspec,sug_tot,mix_r,cont_type,bev_type,SSB_status
dining,0.162654522,7.8073999999999995,7.8073999999999995,0,0,129.11,129.11,0,glass,juice,SSB
dining,11.35624298,4769.610000000001,23848.050000000003,591.75,0,0,591.75,4,bag_in_box,juice,SSB
dining,0.499792985,107.9551,107.9551,94.03999999999999,22.009999999999998,0,116.05,0,plastic,juice,SSB
dining,0.499792985,5.9975,5.9975,94.03999999999999,22.009999999999998,0,116.05,0,plastic,juice,SSB
dining,0.499792985,191.92020000000002,191.92020000000002,88.03999999999999,20.01,0,108.03999999999999,0,plastic,juice,SSB
dining,0.499792985,5.9975,5.9975,88.03999999999999,20.01,0,108.03999999999999,0,plastic,juice,SSB
dining,0.499792985,29.987499999999997,29.987499999999997,0,0,60.019999999999996,60.019999999999996,0,plastic,juice,SSB
dining,0.499792985,17.992499999999996,17.992499999999996,0,0,60.019999999999996,60.019999999999996,0,plastic,juice,SSB
dining,0.499792985,185.92270000000002,185.92270000000002,114.05,8,0,122.05000000000001,0,plastic,juice,SSB
dining,0.499792985,11.995000000000001,11.995000000000001,114.05,8,0,122.05000000000001,0,plastic,juice,SSB
dining,0.354882593,180.2801,180.2801,101.44,0,0,101.44,0,plastic,juice,SSB
dining,0.354882593,313.71569999999997,313.71569999999997,0,0,104.26,104.26,0,plastic,juice,SSB
