scen,bev_type,SSB_status,cont_type,vol
scen2_3,milk_other_plant,SSB,carton,0
scen2_3,milk_other_plant,SSB,bag_in_box,0
scen2_3,milk_soy,non_SSB,carton,10527.230000000001
scen2_3,milk_soy,SSB,carton,0
scen2_3,probiotic,non_SSB,plastic,416.703
scen2_3,probiotic,SSB,glass,0
scen2_3,soda,non_SSB,alum_can,23161.205409792365
scen2_3,soda,non_SSB,glass,2880.3573753235964
scen2_3,soda,non_SSB,plastic,18664.776036100575
scen2_3,soda,non_SSB,bag_in_box,35794.81117878347
scen2_3,soda,SSB,alum_can,0
scen2_3,soda,SSB,glass,0
scen2_3,soda,SSB,plastic,0
scen2_3,soda,SSB,carton,0
scen2_3,soda,SSB,bag_in_box,0
scen2_3,tea,non_SSB,alum_can,899.9807637184596
scen2_3,tea,non_SSB,glass,1865.4367320725505
scen2_3,tea,non_SSB,plastic,5121.493462600721
scen2_3,tea,non_SSB,bag_in_box,9062.289041608268
scen2_3,tea,SSB,alum_can,0
scen2_3,tea,SSB,glass,0
scen2_3,tea,SSB,plastic,0
scen2_3,tea,SSB,bag_in_box,0
scen2_3,water_bottled,non_SSB,plastic,732820.87
scen2_3,water_ucsb,non_SSB,steel_bott_reuse,0
scen2_4,coffee,non_SSB,alum_can,133.43582931954137
scen2_4,coffee,non_SSB,glass,949.2020312753148
scen2_4,coffee,non_SSB,plastic,197.49213940514377
scen2_4,coffee,SSB,alum_can,0
scen2_4,coffee,SSB,glass,0
scen2_4,coffee,SSB,plastic,0
scen2_4,coffee_milk,non_SSB,alum_can,18.453799999999998
scen2_4,coffee_milk,non_SSB,glass,423.8622
scen2_4,coffee_milk,non_SSB,plastic,72.04099999999998
scen2_4,coffee_milk,SSB,alum_can,0
scen2_4,coffee_milk,SSB,glass,0
scen2_4,coffee_milk,SSB,plastic,0
scen2_4,juice,non_SSB,alum_can,210.60811725361796
scen2_4,juice,non_SSB,glass,667.1781546571383
scen2_4,juice,non_SSB,plastic,38265.983634858574
scen2_4,juice,non_SSB,carton,1138.0300932306727
scen2_4,juice,SSB,alum_can,0
scen2_4,juice,SSB,glass,0
scen2_4,juice,SSB,plastic,0
scen2_4,juice,SSB,carton,0
scen2_4,juice,SSB,bag_in_box,0
scen2_4,milk_almond,non_SSB,carton,511.03
scen2_4,milk_almond,SSB,plastic,0
scen2_4,milk_almond,SSB,carton,0
scen2_4,milk_an,non_SSB,plastic,55461.43116117958
scen2_4,milk_an,non_SSB,carton,1583.80883882042
scen2_4,milk_an,SSB,plastic,0
scen2_4,milk_an,SSB,carton,0
scen2_4,milk_an,SSB,bag_in_box,0
scen2_4,milk_other_plant,non_SSB,carton,0
scen2_4,milk_other_plant,non_SSB,bag_in_box,0
scen2_4,milk_other_plant,SSB,carton,0
scen2_4,milk_other_plant,SSB,bag_in_box,0
scen2_4,milk_soy,non_SSB,carton,10527.230000000001
scen2_4,milk_soy,SSB,carton,0
